,userid
639,187609
640,187982
641,188311
642,188475
643,188540
644,188683
645,188697
646,189172
647,189503
648,189888
649,190233
650,190815
651,191049
652,191238
653,191478
654,192296
655,192381
656,193653
657,193768
658,194486
659,194669
660,194711
661,194731
662,195538
663,196840
664,196993
665,197162
666,197230
667,197736
668,197765
669,198016
670,198142
671,198477
672,198628
673,198978
674,199194
675,199222
676,199274
677,199880
678,200126
679,201042
680,201093
681,201455
682,201613
683,201848
684,201929
685,202210
686,202384
687,202462
688,202549
689,202597
690,202762
691,202800
692,202819
693,203066
694,203141
695,203368
696,203867
697,203872
698,203900
699,204098
700,204525
701,204937
702,205035
703,205159
704,205393
705,205878
706,205894
707,206026
708,206274
709,206752
710,207086
711,208415
712,208611
713,208683
714,208685
715,208904
716,208951
717,209095
718,209281
719,209492
720,209553
721,209556
722,209734
723,209837
724,210675
725,211107
726,211122
727,211158
728,211442
729,211839
730,212008
731,212089
732,212549
733,212596
734,212713
735,213219
736,213413
737,213527
738,214258
739,214785
740,215197
741,215385
742,215608
743,215750
744,215853
745,215966
746,215987
747,216698
748,216728
749,216733
750,218135
751,218167
752,218357
753,218359
754,218414
755,218416
756,218421
757,218528
758,218558
759,218613
760,218651
761,218696
762,218698
763,218726
764,218761
765,218823
766,218863
767,218933
768,218935
769,218974
770,219050
771,219067
772,219235
773,219280
774,219303
775,219442
776,219469
777,219504
778,219525
779,219542
780,219598
781,219608
782,219611
783,219711
784,219990
785,220031
786,220047
787,220163
788,220198
789,220208
790,220225
791,220262
792,220361
793,220509
794,220599
795,221086
796,221127
797,221484
798,221841
799,222094
800,222228
801,222644
802,222773
803,223073
804,223120
805,223149
806,223227
807,223498
808,223689
809,223712
810,223982
811,224105
812,224380
813,224582
814,224814
815,224871
816,224887
817,225095
818,225311
819,225314
820,225466
821,225646
822,225822
823,226101
824,226375
825,226389
826,226929
827,227117
828,227194
829,227294
830,227475
831,227763
832,227816
833,227837
834,228113
835,228171
836,228324
837,228737
838,228790
839,228848
840,228959
841,229062
842,229267
843,229407
844,229708
845,230052
846,230151
847,230616
848,230917
849,231142
850,231383
851,231401
852,231540
853,231818
854,231860
855,232318
856,232366
857,232816
858,233755
859,234405
860,235087
861,235173
862,235400
863,235406
864,235787
865,235954
866,236090
867,236098
868,236218
869,236357
870,237102
871,237107
872,237237
873,237283
874,237484
875,237530
876,237550
877,237632
878,237642
879,237652
880,237724
881,237731
882,237785
883,237908
884,237970
885,238121
886,238156
887,238167
888,238227
889,238238
890,238436
891,238452
892,238487
893,238665
894,238691
895,238737
896,239074
897,239181
898,239368
899,239466
900,239686
901,239751
902,239831
903,239909
904,239966
905,240112
906,240383
907,240819
908,241037
909,241305
910,241405
911,241621
912,241638
913,241982
914,243812
915,243905
916,243972
917,244028
